"scenario","K","tau_w_scale","divergences","max_rhat","min_ess_bulk","min_ess_tail","min_ebfmi","passes_gate"
"main",4,0.2,8,1.00167519267661,2919.68791656014,2517.28284574573,0.862509162260876,FALSE
"strong",4,0.2,0,1.00093088006548,5535.41826240409,7164.10577774591,0.83169143118551,TRUE
"main",4,0.35,25,1.00153210074599,3052.98337486666,3046.96411068731,0.815841405136706,FALSE
"strong",4,0.35,0,1.0005535701735,6035.82313585562,6147.06905742405,0.838718311442092,TRUE
"main",4,0.5,63,1.00166289912459,3596.96696844605,3065.34139556186,0.814624287095289,FALSE
"strong",4,0.5,20,1.00070092582085,4279.03183969411,2312.22489738931,0.840353721446304,FALSE
"main",4,0.75,34,1.0009228757895,2656.01212414889,1841.51617873947,0.834614050746652,FALSE
"strong",4,0.75,4,1.00034365600512,4698.15195975309,5302.24523832925,0.845852008117198,FALSE
"main",4,1,87,1.00220900532973,2236.09697047092,1729.76116219679,0.82358438343759,FALSE
"strong",4,1,6,1.00073169243971,4397.66688561074,5369.92685893283,0.857981858881723,FALSE
