"scenario","K","tau_w_scale","parameter","true_value","posterior_median","posterior_sd","lower_95","upper_95","inside_95","bias","bias_frac","z"
"main",4,0.2,"mu",1.1376975408664,1.14473803231409,0.429217265886566,0.495282734931145,2.20352893612669,TRUE,0.00704049144768604,0.00618836834465199,0.0164030946731456
"main",4,0.2,"phi",0.95,0.950426761969343,0.0232007779681381,0.900461670732803,0.991470439266888,TRUE,0.00042676196934277,0.000449223125623969,0.0183942956537426
"main",4,0.2,"sigma_eta",0.25,0.257897391440997,0.058292928371535,0.150569130971555,0.379848608092601,TRUE,0.0078973914409971,0.0315895657639884,0.135477692777113
"main",4,0.2,"nu",10,20.8362894041552,13.3745852406058,7.90895039701959,58.7056078938173,TRUE,10.8362894041552,1.08362894041552,0.810214986798678
"main",4,0.2,"g_sd",0.156539656318963,0.14007268432306,0.0297705014011342,0.0947724491333438,0.21214659937028,TRUE,-0.0164669719959029,-0.105193612807927,-0.553130488936796
"main",4,0.2,"h_bar",1.03446347320351,1.11138560095802,0.0875603056466982,0.931197987792291,1.27731834990948,TRUE,0.0769221277545051,0.0743594430804733,0.878504559644668
"strong",4,0.2,"mu",-1.51062441079145,-1.50337092504264,0.273159561839258,-2.00321858198552,-0.91969363886956,TRUE,0.00725348574880713,-0.0048016473830228,0.026554024687869
"strong",4,0.2,"phi",0.95,0.93959766674707,0.0151033482764743,0.908467997916734,0.967797550601744,TRUE,-0.0104023332529297,-0.0109498244767681,-0.688743519814935
"strong",4,0.2,"sigma_eta",0.25,0.3084352960649,0.0564941866183728,0.211959706888024,0.433282565120457,TRUE,0.0584352960649004,0.233741184259602,1.03435945471063
"strong",4,0.2,"nu",10,19.8620914301193,13.2293021304752,7.47524356131384,57.074330487683,TRUE,9.86209143011935,0.986209143011935,0.74547329351568
"strong",4,0.2,"g_sd",0.40370775992311,0.364670066454095,0.03485317745354,0.301699064961053,0.440441992351344,TRUE,-0.0390376934690149,-0.096697902156872,-1.12006124896512
"strong",4,0.2,"h_bar",-1.65468615609226,-1.5866333049719,0.0898119106500247,-1.77857631035925,-1.41988450453181,TRUE,0.0680528511203577,-0.0411273466389982,0.757726348630342
"main",4,0.35,"mu",1.1376975408664,1.14425560388532,0.453065641728804,0.47623877548778,2.26377515446415,TRUE,0.0065580630189237,0.0057643290798796,0.0144748628342231
"main",4,0.35,"phi",0.95,0.950391064730024,0.0241895799717899,0.898769743396266,0.992743827129745,TRUE,0.00039106473002426,0.000411647084236063,0.0161666606233066
"main",4,0.35,"sigma_eta",0.25,0.256857587676569,0.0584571234027707,0.150238441445662,0.380188046457883,TRUE,0.00685758767656885,0.0274303507062754,0.11730970115173
