"scenario","K","tau_w_scale","correlation","rmse"
"main",4,0.2,0.950102475711645,0.0558216117354456
"strong",4,0.2,0.938751267625514,0.140930929682442
"main",4,0.35,0.945525867152378,0.0569435870354299
"strong",4,0.35,0.938168416287357,0.141054093811027
"main",4,0.5,0.943305295229579,0.0573401313553831
"strong",4,0.5,0.937719253495671,0.141248639840428
"main",4,0.75,0.941818715789483,0.0579011519984981
"strong",4,0.75,0.937567569318489,0.141240640923236
"main",4,1,0.941226729727222,0.0581513339077451
"strong",4,1,0.937409115629096,0.141367160972831
