"scenario","T","rep","parameter","mean_divergent","mean_all","sd_all","z_shift"
"main",520,1,"phi",0.980159290096246,0.942153687858204,0.0202958009388222,1.87258449925687
"main",520,1,"mu",0.331635102451942,0.896977175386063,0.312944074157289,-1.8065274904358
"main",520,1,"tau_w",0.344254617238959,0.210965445814694,0.0874818990787444,1.52362000399978
"main",520,1,"sum_w2",0.947911519849524,0.670808359207735,0.265681127744973,1.0429915101376
"main",520,1,"sigma_eta",0.233519419617284,0.281374750315305,0.0494424188452104,-0.967900272999215
"main",520,1,"h_bar",0.93327583493645,0.891748268550784,0.0882394325518444,0.470623679059439
"main",520,1,"g_sd",0.20179978219242,0.214605644603758,0.0359413282002651,-0.356299086666588
"main",520,1,"nu",19.4473922308684,22.6337038424335,12.6116155559241,-0.25264896455462
"main",520,1,"max_abs_W1",1.87882630110874,1.96582264410418,0.500781747676523,-0.173721073899106
"main",520,1,"lp__",-985.442044048353,-985.930530997314,18.2037585696626,0.0268344005493111
"main",520,2,"sum_w2",1.32908565825826,0.556403446927813,0.280680849439975,2.75288539589408
"main",520,2,"max_abs_W1",0.870396432145621,2.01083509728554,0.488563130106858,-2.33427083392577
"main",520,2,"phi",0.975065738233192,0.935114918550479,0.0266901728728861,1.49683630274641
"main",520,2,"lp__",-1104.79243648396,-1127.19399972861,19.9400729366586,1.12344439841391
"main",520,2,"tau_w",0.260695536590053,0.182801854927108,0.0881559919259284,0.883589191854296
"main",520,2,"mu",1.68458447401282,1.41618882004096,0.377605358027956,0.710783489338049
"main",520,2,"nu",21.216397144561,18.6973174918608,11.8698922737241,0.212224306220243
"main",520,2,"h_bar",1.40384820580875,1.39630326846353,0.0997492265849346,0.0756390560962613
"main",520,2,"sigma_eta",0.371186545616387,0.375420013686984,0.0692698523968676,-0.0611155924852003
"main",520,2,"g_sd",0.170174161568929,0.170045449463597,0.0376475816910802,0.0034188678143581
"main",520,3,"sum_w2",0.948169548056176,0.568457497736701,0.230084529561863,1.65031543425601
"main",520,3,"phi",0.983159066473938,0.957873667396233,0.0165170155924136,1.53086972257377
"main",520,3,"h_bar",2.26232977494112,2.31623261742378,0.0823759218665859,-0.654351918148533
"main",520,3,"tau_w",0.237608743312406,0.189438754979408,0.0825550231041371,0.583489490060893
"main",520,3,"mu",2.14876331893134,2.327179391661,0.439688951358668,-0.405777930462757
"main",520,3,"lp__",-1347.91146787902,-1353.83354645771,18.2078360511452,0.325248896247474
"main",520,3,"max_abs_W1",2.04249636076468,1.90703110173543,0.488627825863453,0.277236071830066
"main",520,3,"sigma_eta",0.316447079815706,0.305700148600826,0.0473923701445927,0.226765008419934
"main",520,3,"g_sd",0.19002025237545,0.185764098614771,0.0263670307348676,0.161419531970685
"main",520,3,"nu",24.9654728080223,24.2364659818207,13.0072293440164,0.0560462806429216
"main",520,4,"g_sd",0.234142363271071,0.196411736005528,0.0158968604557653,2.37346407930882
"main",520,4,"phi",0.944130769481405,0.96529269854051,0.0107455935269951,-1.96935878934389
"main",520,4,"h_bar",1.66795721920185,1.57893676023929,0.0798064727331451,1.11545412187585
"main",520,4,"tau_w",0.108126195636257,0.191307824996955,0.0803349091575442,-1.03543565596833
"main",520,4,"max_abs_W1",2.47538497584187,2.15762639287847,0.491313330871605,0.646753432070915
"main",520,4,"nu",33.8566390088091,26.5348215059167,13.6016264850126,0.538304555779433
"main",520,4,"sigma_eta",0.157906097314283,0.135199650848938,0.051411533799254,0.441660553330441
"main",520,4,"lp__",-1167.24837364225,-1160.1071358659,17.8992973238602,-0.398967492809457
"main",520,4,"sum_w2",0.547485012867386,0.561721933455799,0.229557131304543,-0.0620190734546395
"main",520,4,"mu",1.6762037569886,1.68771910570922,0.242260315070784,-0.0475329552727738
"main",520,5,"mu",0.0428311092074853,1.56492557685974,0.315491991579584,-4.82451063189128
"main",520,5,"phi",0.981908678631836,0.932085041751272,0.0218248748300199,2.28288305287466
"main",520,5,"h_bar",1.46225011478982,1.63356613799469,0.0972775852301172,-1.7611048094955
"main",520,5,"max_abs_W1",2.411731728731,1.97323112301138,0.496851104308044,0.882559386338325
"main",520,5,"nu",8.7649279888425,17.494641052765,11.0550785252581,-0.789656359652017
"main",520,5,"g_sd",0.179142751606175,0.202515659218847,0.0313966727478457,-0.744438998373651
"main",520,5,"tau_w",0.216924893101955,0.180993157108857,0.0816328054275945,0.440162944356578
"main",520,5,"sigma_eta",0.336273509769436,0.347188616665074,0.0599989822025743,-0.181921534248458
"main",520,5,"lp__",-1186.93128853537,-1189.58938574214,19.3541102571528,0.137340191383443
"main",520,5,"sum_w2",0.530784420348573,0.529494908190733,0.211268500124536,0.00610366503799823
"main",520,6,"mu",2.68331067487397,1.26961529351093,0.2920321733477,4.84088915668843
"main",520,6,"tau_w",0.419196779795576,0.179734421850589,0.0811469133601206,2.95097309348393
"main",520,6,"sum_w2",1.18443002510059,0.524703964637342,0.229423239437791,2.87558515030964
"main",520,6,"phi",0.994069538141048,0.936527021603085,0.021831406253107,2.63576774994845
"main",520,6,"h_bar",1.4546668135227,1.29450303966614,0.0989042950642436,1.61938138027803
"main",520,6,"lp__",-1079.71589504,-1105.70294220142,19.1796984579029,1.35492469907478
"main",520,6,"max_abs_W1",1.24575025844686,1.89813893887251,0.490126321401327,-1.33106232401557
"main",520,6,"sigma_eta",0.32738622652798,0.281037717853397,0.0641662984945626,0.722318565383824
"main",520,6,"nu",18.3353362933844,15.6659703489264,9.93083337672069,0.268795763980422
"main",520,6,"g_sd",0.18627096881466,0.181106469392363,0.0328255743523089,0.157331578325698
"main",520,7,"tau_w",0.0586212111099126,0.169546981061651,0.0780609202941407,-1.42101540096838
"main",520,7,"lp__",-1402.88842825587,-1429.31473844338,19.2993562172331,1.36928454452367
"main",520,7,"sum_w2",0.267872790504651,0.483857645779496,0.197625622351443,-1.09289905177757
"main",520,7,"sigma_eta",0.320130685654764,0.280202377301515,0.0617172582335546,0.646955316811865
"main",520,7,"mu",2.83658227801093,2.51531482383789,0.536010458447294,0.599367883797798
"main",520,7,"h_bar",2.51078456705576,2.56658466254104,0.0949218869621793,-0.587852783705288
"main",520,7,"nu",13.8687565245086,18.8374139877902,11.2904845753173,-0.440074775368263
"main",520,7,"g_sd",0.159530121510503,0.170830823171704,0.0276742482338141,-0.408347195765667
"main",520,7,"max_abs_W1",1.69674635032803,1.87793619593202,0.484747088992822,-0.373782225243373
"main",520,7,"phi",0.964997645737273,0.963868671573837,0.0178274594194246,0.0633278212489521
"main",520,9,"lp__",-1106.18284958448,-1145.39563047444,18.6212867516454,2.10580404098484
"main",520,9,"max_abs_W1",1.28538380377886,1.95329823940347,0.502453241813705,-1.32930664993551
"main",520,9,"h_bar",1.4769551106368,1.38557775561424,0.110934402331147,0.823706200262306
"main",520,9,"sum_w2",0.675878836863217,0.515914027460041,0.207213389307554,0.771981047835428
"main",520,9,"nu",16.0045043797799,11.1108892541401,6.76191669696064,0.723702367974956
"main",520,9,"phi",0.952423039466229,0.941277836584551,0.0165161384026668,0.674806822875616
"main",520,9,"sigma_eta",0.227084121035168,0.203292408043975,0.0640799959113033,0.37128143741028
"main",520,9,"mu",1.38992097930215,1.38064339767483,0.213255235450982,0.0435045902047868
"main",520,9,"tau_w",0.179711734238451,0.176720676518303,0.0791382990212578,0.0377953248571163
"main",520,9,"g_sd",0.196925333344869,0.197783118353044,0.029949329257461,-0.0286412093172983
"main",520,10,"sum_w2",1.16163972504666,0.639840637874257,0.28824953910942,1.81023389936569
"main",520,10,"phi",0.974768952832965,0.937904557426942,0.0237125051312379,1.55463942767733
"main",520,10,"nu",26.1131467993077,12.9534330433712,9.43802094938591,1.39432978868232
