"parameter","true_value","prior_median","prior_q05","prior_q95","post_median","post_sd","post_q05","post_q95","post_q025","post_q975","bias","inside_95","z","width_ratio","scenario"
"mu",1.8,-0.0347797240809874,-8.22728796434264,8.29084956543556,1.75371699897465,0.221562770990288,1.3881880819586,2.08420488721905,1.28972173649214,2.17093220833905,-0.0462830010253521,TRUE,-0.208893402165388,0.0421365183578172,"zero"
"phi",0.95,0.844663417095879,0.583520267870517,0.965537628445106,0.909874047655743,0.0399297936889679,0.831020541207875,0.960820063560334,0.813909732884477,0.967872660472983,-0.0401259523442572,TRUE,-1.00491258875058,0.339773883985872,"zero"
"sigma_eta",0.25,0.667440770019344,0.0687354458317744,1.97482749798486,0.334459687319092,0.0839381975920682,0.2142372446949,0.482015664970198,0.188020672816966,0.514916003291928,0.0844596873190919,TRUE,1.0062127820466,0.140485565727438,"zero"
"nu",10,18.6832854977673,5.49778917671055,49.6891613602194,22.014377427547,13.7566155025714,9.37205851138433,52.089786795681,8.05414323309368,60.5328807304368,12.014377427547,TRUE,0.873352709850855,0.966653130998225,"zero"
"tau_w",NA,0.134077654766302,0.0115176208838396,0.387838597571921,0.0667689087412079,0.080729833443425,0.00656964307377314,0.252206204977799,0.00324911328442876,0.303748280097962,NA,NA,NA,0.652731516764811,"zero"
"g_sd",0,0.121142448800868,0.0100040065615534,0.426889202513224,0.0513186157767232,0.0437821995257107,0.00562706051518404,0.144088223751038,0.00268648963953938,0.167849476424055,0.0513186157767232,FALSE,1.17213425393548,0.332132598088001,"zero"
"h_bar",1.69833774949084,-0.0232815153915257,-8.28919433134787,8.35951175953098,1.76430476847733,0.0865411049590822,1.61835851596513,1.90277159350114,1.58815475932016,1.92781445627141,0.0659670189864929,TRUE,0.762262268521797,0.0170831940922925,"zero"
"mu",1.1376975408664,0.0440045021939221,-8.31633744442501,8.30510440808162,1.13948997776086,0.407925469681579,0.680069837623842,1.71451671521921,0.539506530521036,1.99022503774904,0.00179243689446196,TRUE,0.00439403035035078,0.062235688502521,"main"
"phi",0.95,0.842526295275379,0.583990034061774,0.966945076468481,0.949137809007614,0.0220839401746568,0.908110588194755,0.981417183849675,0.899691065192551,0.987243738511148,-0.000862190992385603,TRUE,-0.0390415381298234,0.191423502858768,"main"
"sigma_eta",0.25,0.680137649749962,0.0631180444952367,1.95887898197494,0.253396758424914,0.060675006852661,0.161616384198145,0.35659645667723,0.140678489496695,0.379981924432445,0.00339675842491438,TRUE,0.055982827215213,0.10285055917351,"main"
"nu",10,18.8324340134052,5.68415850386271,48.8297037911662,20.7748997830633,13.367842393628,8.8948541560838,50.4764871787213,7.81497494225113,58.4123550626069,10.7748997830633,TRUE,0.806031329947405,0.96375263647146,"main"
"tau_w",NA,0.135447945490776,0.0127207413099116,0.390402462523797,0.153151499072486,0.0808833942459962,0.0708309975706906,0.327107214091202,0.0618583646919269,0.366819126423862,NA,NA,NA,0.678550753520261,"main"
"g_sd",0.156539656318963,0.114022105858934,0.00984098910152185,0.405033368547326,0.141034063934106,0.0296952281001202,0.102615114899575,0.198975287882255,0.095357088297667,0.213631214325976,-0.0155055923848567,TRUE,-0.52215771276712,0.243831050380602,"main"
"h_bar",1.03446347320351,0.0356727380580295,-8.41343822557807,8.35117021323962,1.11151131572656,0.088774800870357,0.960924118727508,1.25035559733184,0.928222850634324,1.27921316371976,0.0770478425230532,TRUE,0.867902172324448,0.0172644341596528,"main"
"mu",-1.51062441079145,-0.0464143129720011,-8.2998953128868,8.29823992590902,-1.50894260192149,0.287725505783826,-1.92353864416212,-1.04604382181541,-2.01887911406404,-0.916930215892979,0.00168180886995706,TRUE,0.00584518520655807,0.0528670726995698,"strong"
"phi",0.95,0.841602982817242,0.585795623801159,0.965551105404908,0.939637373878711,0.0148476292773183,0.913849706305581,0.962520065428893,0.908781120716974,0.967218397123491,-0.0103626261212888,TRUE,-0.697931361818083,0.128162360995478,"strong"
"sigma_eta",0.25,0.67226639142207,0.0596347803585354,1.95869482371951,0.305049839670581,0.0557871852498489,0.22320408996101,0.404567336066207,0.208770041365324,0.426697662259271,0.0550498396705809,TRUE,0.986782886141938,0.0955015860289596,"strong"
"nu",10,18.9615455042971,5.62492288463397,49.0468523867395,19.713773820143,13.1703209926414,8.4849561760758,48.2692865370462,7.43657419767951,56.7443329579358,9.71377382014299,TRUE,0.737550271217407,0.916226681245044,"strong"
"tau_w",NA,0.137279331645281,0.0121533195673288,0.391290392764661,0.284081236725454,0.09483014297474,0.16436652901614,0.471696594158913,0.149235784664033,0.518122713471446,NA,NA,NA,0.810604097750194,"strong"
"g_sd",0.40370775992311,0.105233478914037,0.00893716481659822,0.382211952639865,0.366185806480644,0.0340750848218603,0.314300786589198,0.427002502384684,0.304996810127385,0.439405592271982,-0.0375219534424661,TRUE,-1.10115510023308,0.301926943559999,"strong"
"h_bar",-1.65468615609226,-0.06095849513106,-8.35903413208446,8.35598974178407,-1.58735551819498,0.0893069719126279,-1.74076665936411,-1.44683828055377,-1.77360667489021,-1.42145897103875,0.0673306378972827,TRUE,0.753923646220528,0.0175846819620673,"strong"
