"scenario","T","rep","parameter","true_value","median","sd","lower_95","upper_95","prob_below_delta","divergences","usable"
"main",520,1,"mu",0.872319024990403,0.91577588066625,0.312944074157289,0.204179572236239,1.46908359526874,NA,6,FALSE
"main",520,1,"phi",0.95,0.943063890239263,0.0202958009388222,0.900304625478484,0.981631795706128,NA,6,FALSE
"main",520,1,"sigma_eta",0.25,0.278375963176689,0.0494424188452104,0.194379952405456,0.387151578203524,NA,6,FALSE
"main",520,1,"nu",10,19.3899510666152,12.6116155559241,7.48833935591565,54.9249520295869,NA,6,FALSE
"main",520,1,"g_sd",0.15488561630422,0.211582969168554,0.0359413282002651,0.15142576030845,0.292839874807933,0,6,FALSE
"main",520,1,"h_bar",0.821752137161014,0.894816492627183,0.0882394325518444,0.706856527265769,1.05961005886716,NA,6,FALSE
"main",520,2,"mu",1.13542954318206,1.3976507805052,0.377605358027956,0.764070730252085,2.2747676791394,NA,2,FALSE
"main",520,2,"phi",0.95,0.936881780883625,0.0266901728728861,0.877305032696625,0.983192114570301,NA,2,FALSE
"main",520,2,"sigma_eta",0.25,0.372026194569994,0.0692698523968676,0.25091563220347,0.522380530722884,NA,2,FALSE
"main",520,2,"nu",10,15.4711683280393,11.8698922737241,5.77161986212317,49.5195955738942,NA,2,FALSE
"main",520,2,"g_sd",0.148924738765388,0.167483267182171,0.0376475816910802,0.10419502501859,0.251705110126421,0.000666666666666667,2,FALSE
"main",520,2,"h_bar",1.37693620279328,1.39938601524788,0.0997492265849346,1.19102241603709,1.58303321426171,NA,2,FALSE
"main",520,3,"mu",2.30796614532707,2.33684461071268,0.439688951358668,1.42372816671948,3.16324307712667,NA,5,FALSE
"main",520,3,"phi",0.95,0.958603556337251,0.0165170155924136,0.923746022639921,0.988277704260838,NA,5,FALSE
"main",520,3,"sigma_eta",0.25,0.302250162033014,0.0473923701445927,0.22327085645668,0.405002620516914,NA,5,FALSE
"main",520,3,"nu",10,21.1291609584501,13.0072293440164,8.19984729882146,57.2968807506801,NA,5,FALSE
"main",520,3,"g_sd",0.156836541620947,0.184444508183025,0.0263670307348676,0.137950010669553,0.240549883496895,0,5,FALSE
"main",520,3,"h_bar",2.35471943081517,2.31791126291542,0.0823759218665859,2.15109549542588,2.47469257634424,NA,5,FALSE
"main",520,4,"mu",1.45833121131649,1.69373584688912,0.242260315070784,1.19607445772233,2.16550576410991,NA,1,FALSE
"main",520,4,"phi",0.95,0.965555050093433,0.0107455935269951,0.943666729373662,0.986322459993742,NA,1,FALSE
"main",520,4,"sigma_eta",0.25,0.136488898676083,0.051411533799254,0.0277187879459462,0.234684207308688,NA,1,FALSE
"main",520,4,"nu",10,23.5949421572681,13.6016264850126,9.20512615349985,59.9930361522948,NA,1,FALSE
"main",520,4,"g_sd",0.154765711870501,0.196089972063376,0.0158968604557653,0.166592852370517,0.229315922826434,0,1,FALSE
"main",520,4,"h_bar",1.53341436852309,1.57989581044374,0.0798064727331451,1.41436295301803,1.73048640566617,NA,1,FALSE
"main",520,5,"mu",1.92114865383513,1.56584315469619,0.315491991579584,0.939541340495116,2.17168193756193,NA,2,FALSE
"main",520,5,"phi",0.95,0.932626325453028,0.0218248748300199,0.887413056418928,0.974091909334386,NA,2,FALSE
"main",520,5,"sigma_eta",0.25,0.343574787513544,0.0599989822025743,0.237248687939939,0.473175815389945,NA,2,FALSE
"main",520,5,"nu",10,14.2344162653048,11.0550785252581,5.70638776072677,47.5518251029808,NA,2,FALSE
"main",520,5,"g_sd",0.166665587740621,0.201269272209236,0.0313966727478457,0.145190458890718,0.268024941444165,0,2,FALSE
"main",520,5,"h_bar",1.77931987926247,1.63744721438398,0.0972775852301172,1.43338817690008,1.81335698585998,NA,2,FALSE
"main",520,6,"mu",1.2078275870848,1.26532462076605,0.2920321733477,0.717044616976566,1.8079378275842,NA,1,FALSE
"main",520,6,"phi",0.95,0.937780392327911,0.021831406253107,0.890483703787932,0.975483813027891,NA,1,FALSE
"main",520,6,"sigma_eta",0.25,0.276723181782221,0.0641662984945626,0.164149169862641,0.417431893745688,NA,1,FALSE
"main",520,6,"nu",10,12.7222093244808,9.93083337672069,5.65259323369865,42.6362534881141,NA,1,FALSE
"main",520,6,"g_sd",0.16130421173142,0.178387522536364,0.0328255743523089,0.123972388912281,0.252729613268728,0,1,FALSE
"main",520,6,"h_bar",1.23813725095306,1.29760685756267,0.0989042950642436,1.09069381191187,1.47837795828839,NA,1,FALSE
"main",520,7,"mu",2.09279487025424,2.53445789636716,0.536010458447294,1.39941081501084,3.54955616886482,NA,1,FALSE
"main",520,7,"phi",0.95,0.96535637475298,0.0178274594194246,0.923945380576327,0.993211301066459,NA,1,FALSE
"main",520,7,"sigma_eta",0.25,0.276529282564565,0.0617172582335546,0.169505915946163,0.410331553378539,NA,1,FALSE
