"scenario","T","rep","parameter","true_value","median","sd","lower_95","upper_95","prob_below_delta","divergences","usable"
"zero",520,1,"mu",1.8,2.1759006729439,0.432926166244406,1.30990745400197,3.01197956539232,NA,66,FALSE
"zero",520,1,"phi",0.95,0.960601677323336,0.0244759877383432,0.899062649482986,0.991821832817301,NA,66,FALSE
"zero",520,1,"sigma_eta",0.25,0.263382304090878,0.0687803373054576,0.158450049188664,0.427385881476973,NA,66,FALSE
"zero",520,1,"nu",10,11.2057909792108,8.89365767468197,5.12381479779555,38.3161687214335,NA,66,FALSE
"zero",520,1,"g_sd",0,0.0284203209449369,0.0340548766127152,0.00117969137326977,0.12988912318447,0.720333333333333,66,FALSE
"zero",520,1,"h_bar",2.04391012399934,2.10530834639198,0.103716441229066,1.88592513179191,2.2920223562134,NA,66,FALSE
"zero",520,2,"mu",1.8,2.08710233568735,0.390680849361069,1.35964581776716,2.79075928349608,NA,4,FALSE
"zero",520,2,"phi",0.95,0.954685972490408,0.0308456032672652,0.870856444442058,0.990908402034917,NA,4,FALSE
"zero",520,2,"sigma_eta",0.25,0.250799552520608,0.0738440406777174,0.144817531983879,0.426349009155066,NA,4,FALSE
"zero",520,2,"nu",10,18.7373319245499,12.5957967371045,7.19747170061857,54.2425129521733,NA,4,FALSE
"zero",520,2,"g_sd",0,0.0240164853298731,0.0259148928011071,0.00104439349331584,0.0966188346699372,0.805833333333333,4,FALSE
"zero",520,2,"h_bar",1.83836662377047,2.04944218448208,0.0899766488996698,1.86057116148576,2.21355455619186,NA,4,FALSE
"zero",520,3,"mu",1.8,1.73321493087584,0.389904299329988,0.959495344781414,2.52070680675512,NA,9,FALSE
"zero",520,3,"phi",0.95,0.967621425959224,0.0222117157931034,0.908217147446623,0.99437139515006,NA,9,FALSE
"zero",520,3,"sigma_eta",0.25,0.192925184619858,0.0567723106981449,0.107372096303691,0.329664629067267,NA,9,FALSE
"zero",520,3,"nu",10,21.2189111881355,12.8429357631283,8.3239929573737,56.8841438138698,NA,9,FALSE
"zero",520,3,"g_sd",0,0.0416843116762913,0.0250559386896436,0.00625525786411819,0.105805640202516,0.6525,9,FALSE
"zero",520,3,"h_bar",1.69723123986612,1.72392593629969,0.0829850638890903,1.5544701545663,1.87831900475738,NA,9,FALSE
"zero",520,4,"mu",1.8,1.95376459578462,0.13400425539352,1.69442061434166,2.2102720170591,NA,2,FALSE
"zero",520,4,"phi",0.95,0.867083309351141,0.0618177436604971,0.70603173579525,0.948397381734226,NA,2,FALSE
"zero",520,4,"sigma_eta",0.25,0.286091161624655,0.0855333959912686,0.137860017563028,0.478716111057679,NA,2,FALSE
"zero",520,4,"nu",10,26.3478243709699,14.9094971447408,10.4217874494508,67.4688841088693,NA,2,FALSE
"zero",520,4,"g_sd",0,0.0307024644236695,0.0305087404742496,0.00159163151920091,0.114776200058245,0.722166666666667,2,FALSE
"zero",520,4,"h_bar",1.83000789709083,1.94384810963189,0.0786929026201133,1.79155103746484,2.09640368901632,NA,2,FALSE
"zero",520,5,"mu",1.8,2.01972529940413,0.236385387096219,1.51404354697777,2.44466219446629,NA,4,FALSE
"zero",520,5,"phi",0.95,0.914810685342817,0.0478890385967373,0.792934412751144,0.977039347605545,NA,4,FALSE
"zero",520,5,"sigma_eta",0.25,0.345351564501564,0.0924574951308927,0.193389090917094,0.552806404571218,NA,4,FALSE
"zero",520,5,"nu",10,21.8664642987186,13.6461745299748,8.33351592482546,60.216978116454,NA,4,FALSE
"zero",520,5,"g_sd",0,0.0602919153617943,0.0508285522456568,0.00330587382533497,0.191520445420485,0.4165,4,FALSE
"zero",520,5,"h_bar",2.02575470425946,2.08438466496115,0.0847217579352272,1.91465786414094,2.24642327158512,NA,4,FALSE
"zero",520,6,"mu",1.8,1.73960428151907,0.213847931480315,1.32158742456996,2.17218865141937,NA,14,FALSE
"zero",520,6,"phi",0.95,0.910850115067516,0.0445173983901324,0.796444863359482,0.971075155734664,NA,14,FALSE
"zero",520,6,"sigma_eta",0.25,0.32981802428394,0.0856488692938148,0.191143255046451,0.531105339851923,NA,14,FALSE
"zero",520,6,"nu",10,16.5788508741459,12.3818428669114,6.38679435680275,53.9180472836839,NA,14,FALSE
"zero",520,6,"g_sd",0,0.0503731959338062,0.0399227531985839,0.00263614019196903,0.14864591511917,0.496666666666667,14,FALSE
"zero",520,6,"h_bar",1.71725900351315,1.75323922615979,0.0916337327596865,1.56135093313373,1.92138162290308,NA,14,FALSE
"zero",520,7,"mu",1.8,1.53236783022266,0.213696975336694,1.13446037840496,1.91685550251165,NA,14,FALSE
"zero",520,7,"phi",0.95,0.901768929581727,0.0437086903461881,0.796257259806905,0.966960466814297,NA,14,FALSE
"zero",520,7,"sigma_eta",0.25,0.332177027944135,0.0747145044626047,0.208133272632433,0.49740051577085,NA,14,FALSE
"zero",520,7,"nu",10,23.2732141353613,14.0641872879732,8.93412770768336,62.379528247534,NA,14,FALSE
"zero",520,7,"g_sd",0,0.0597948090377788,0.0409185460006466,0.00437003403608669,0.157001648799554,0.400833333333333,14,FALSE
"zero",520,7,"h_bar",1.45909639109129,1.52918111000692,0.0813325730995882,1.36062216027625,1.68243005410892,NA,14,FALSE
"zero",520,8,"mu",1.8,2.3742832534362,0.179553999749374,2.01447341403823,2.71916601866301,NA,6,FALSE
"zero",520,8,"phi",0.95,0.895341978773839,0.0545865011709581,0.751186706315293,0.96504506675224,NA,6,FALSE
"zero",520,8,"sigma_eta",0.25,0.29892692918793,0.0972428681748265,0.148485083775781,0.524921946536361,NA,6,FALSE
"zero",520,8,"nu",10,19.1590509254553,13.3519454496542,6.82894023029097,58.0407478462739,NA,6,FALSE
"zero",520,8,"g_sd",0,0.0236975893586905,0.0280597874131543,0.00119229739716837,0.105201257625787,0.8095,6,FALSE
"zero",520,8,"h_bar",2.15221523235545,2.38265788587469,0.0929298670051973,2.18797382658284,2.5508304606977,NA,6,FALSE
"zero",520,9,"mu",1.8,1.96138310031908,0.46283482450072,0.946238916529335,2.84012486183124,NA,72,FALSE
"zero",520,9,"phi",0.95,0.951714316010078,0.026526437728045,0.889495862209511,0.991202347788252,NA,72,FALSE
"zero",520,9,"sigma_eta",0.25,0.328866664250359,0.058616196497904,0.233353245334626,0.460586069638051,NA,72,FALSE
"zero",520,9,"nu",10,23.5869001747823,14.0625957674499,8.89056467364662,61.3260264153235,NA,72,FALSE
"zero",520,9,"g_sd",0,0.0411785061531634,0.0464910058030281,0.00191423151820702,0.169310520517236,0.574,72,FALSE
"zero",520,9,"h_bar",1.87209065660789,1.97638116154005,0.080831732225923,1.81154820178278,2.12880078919751,NA,72,FALSE
