"scenario","T","rep","correlation","rmse","sd_true_g","usable"
"main",520,1,0.829135169462508,0.110230833655207,0.15488561630422,FALSE
"main",520,2,0.857606784765026,0.0783996497585757,0.148924738765388,FALSE
"main",520,3,0.907473279090269,0.0704346412029125,0.156836541620947,FALSE
"main",520,4,0.950755520731073,0.0624229811778119,0.154765711870501,FALSE
"main",520,5,0.947104879690997,0.061034935128419,0.166665587740621,FALSE
"main",520,6,0.947294280498134,0.053223307861524,0.16130421173142,FALSE
"main",520,7,0.847171564914499,0.0847460970163985,0.149697514802675,FALSE
"main",520,8,0.957045735548739,0.080612660983853,0.175898536034727,TRUE
"main",520,9,0.875499946390651,0.0900643869287062,0.169315087066316,FALSE
"main",520,10,0.905711186976386,0.0763462041199439,0.171819751266895,FALSE
