"scenario","T","rep","correlation","rmse","sd_true_g","usable"
"zero",520,1,NA,0.00465028938476796,0,FALSE
"zero",520,2,NA,0.00303346585513478,0,FALSE
"zero",520,3,NA,0.025398303704946,0,FALSE
"zero",520,4,NA,0.00760484668153516,0,FALSE
"zero",520,5,NA,0.0367703089374916,0,FALSE
"zero",520,6,NA,0.0252622851753459,0,FALSE
"zero",520,7,NA,0.0364420085899078,0,FALSE
"zero",520,8,NA,0.000934544560805178,0,FALSE
"zero",520,9,NA,0.0154779775059758,0,FALSE
"zero",520,10,NA,0.000807611463564891,0,FALSE
