"scenario","T","parameter","n_usable","mean_true_value","mean_median","bias","rmse","mean_ci_width","coverage_95","mean_prob_below_delta","frac_upper_ci_below_delta"
"main",520,"g_sd",1,0.175898536034727,0.240349511788369,0.0644509757536421,0.0644509757536421,0.123057726292618,0,0,0
"main",520,"h_bar",1,2.36057051928336,2.33498775166228,-0.0255827676210747,0.0255827676210747,0.317366265150953,1,NA,NA
"main",520,"mu",1,2.03094185602174,2.26162332588059,0.230681469858849,0.230681469858849,0.95779190529331,1,NA,NA
"main",520,"nu",1,10,23.9913455340028,13.9913455340028,13.9913455340028,53.4815221102015,1,NA,NA
"main",520,"phi",1,0.95,0.93708923364879,-0.0129107663512098,0.0129107663512098,0.0576837176010196,1,NA,NA
"main",520,"sigma_eta",1,0.25,0.293998728458291,0.0439987284582908,0.0439987284582908,0.199632544060545,1,NA,NA
"strong",520,"g_sd",9,0.520233234846287,0.440924868027599,-0.0793083668186877,0.107737079181668,0.123670522440213,0.444444444444444,0,0
"strong",520,"h_bar",9,-0.396926662765843,-0.381181558769532,0.0157451039963117,0.123120499603045,0.415549848538041,0.888888888888889,NA,NA
"strong",520,"mu",9,-0.372345646029104,-0.383000052120643,-0.0106544060915394,0.225323713936939,0.871344939249046,1,NA,NA
"strong",520,"nu",9,10,12.2796388203069,2.27963882030693,5.9361819728902,32.9893858178736,1,NA,NA
"strong",520,"phi",9,0.95,0.927775742352765,-0.0222242576472351,0.0247630926729052,0.0516678815884995,0.666666666666667,NA,NA
"strong",520,"sigma_eta",9,0.25,0.282934631188572,0.0329346311885718,0.09844021967175,0.257335190173627,0.777777777777778,NA,NA
"zero",520,"g_sd",0,NA,NA,NA,NA,NA,NA,NA,NA
"zero",520,"h_bar",0,NA,NA,NA,NA,NA,NA,NA,NA
"zero",520,"mu",0,NA,NA,NA,NA,NA,NA,NA,NA
"zero",520,"nu",0,NA,NA,NA,NA,NA,NA,NA,NA
"zero",520,"phi",0,NA,NA,NA,NA,NA,NA,NA,NA
"zero",520,"sigma_eta",0,NA,NA,NA,NA,NA,NA,NA,NA
