"Model_A","Model_B","N","mean_loss_A_minus_B","statistic","p_value","better_model","loss"
"sGARCH","gjrGARCH",153,0.0079920251463135,0.281244189988734,0.778523113169935,"gjrGARCH","qlike"
"sGARCH","eGARCH",153,-0.0752173960504548,-1.26052668730176,0.207479426878825,"sGARCH","qlike"
"sGARCH","linearSV",153,0.0228364675584901,0.692111493985977,0.488867314045338,"linearSV","qlike"
"sGARCH","regimeSwitchingSV",153,0.0145167142092489,0.357273054363053,0.720887400125273,"regimeSwitchingSV","qlike"
"sGARCH","nonlinearSV",153,0.0264065280144722,0.553516274375866,0.57990993977899,"nonlinearSV","qlike"
"sGARCH","harRV",153,0.00499465194630885,0.0917768188544249,0.926875362190523,"harRV","qlike"
"gjrGARCH","eGARCH",153,-0.0832094211967683,-1.34066500012435,0.180029242979499,"gjrGARCH","qlike"
"gjrGARCH","linearSV",153,0.0148444424121766,0.632821629364262,0.526850130512574,"linearSV","qlike"
"gjrGARCH","regimeSwitchingSV",153,0.00652468906293537,0.173629021897902,0.862157022265583,"regimeSwitchingSV","qlike"
"gjrGARCH","nonlinearSV",153,0.0184145028681587,0.410922656550099,0.681129248636067,"nonlinearSV","qlike"
"gjrGARCH","harRV",153,-0.00299737320000464,-0.0604699926116839,0.951781314527461,"gjrGARCH","qlike"
"eGARCH","linearSV",153,0.098053863608945,1.41739458048348,0.15636759630556,"linearSV","qlike"
"eGARCH","regimeSwitchingSV",153,0.0897341102597037,1.08992716158305,0.275745230772126,"regimeSwitchingSV","qlike"
"eGARCH","nonlinearSV",153,0.101623924064927,1.17520590794747,0.239912347190821,"nonlinearSV","qlike"
"eGARCH","harRV",153,0.0802120479967637,1.51442721309631,0.129917521616751,"harRV","qlike"
"linearSV","regimeSwitchingSV",153,-0.00831975334924128,-0.427469822573037,0.669037160692832,"linearSV","qlike"
"linearSV","nonlinearSV",153,0.00357006045598206,0.124650411785868,0.900800316761366,"nonlinearSV","qlike"
"linearSV","harRV",153,-0.0178418156121813,-0.372498674270473,0.709521598874075,"linearSV","qlike"
"regimeSwitchingSV","nonlinearSV",153,0.0118898138052233,0.52356335176849,0.60058227708584,"nonlinearSV","qlike"
"regimeSwitchingSV","harRV",153,-0.00952206226294002,-0.156550414826931,0.875599183786576,"regimeSwitchingSV","qlike"
"nonlinearSV","harRV",153,-0.0214118760681634,-0.331385730405186,0.740353142053577,"nonlinearSV","qlike"
