"Model_A","Model_B","N","mean_loss_A_minus_B","statistic","p_value","better_model","loss"
"sGARCH","gjrGARCH",113,0.00096290860970087,0.0263192428423779,0.979002706658446,"gjrGARCH","qlike"
"sGARCH","eGARCH",113,-0.112280038297857,-1.47369897016276,0.140562660267012,"sGARCH","qlike"
"sGARCH","harRV",113,-0.0209255595588002,-0.297230278332,0.766290707083927,"sGARCH","qlike"
"sGARCH","linearSV",113,0.0249057332039005,0.59498910200685,0.551850755697676,"linearSV","qlike"
"sGARCH","regimeSwitchingSV",113,0.0372855232411738,0.687791534068732,0.491584068133801,"regimeSwitchingSV","qlike"
"sGARCH","nonlinearSV",113,0.0538227532433619,0.790230034731771,0.429393438512335,"nonlinearSV","qlike"
"gjrGARCH","eGARCH",113,-0.113242946907557,-1.35123752828672,0.176619356574208,"gjrGARCH","qlike"
"gjrGARCH","harRV",113,-0.0218884681685011,-0.333426451969348,0.738812398631556,"gjrGARCH","qlike"
"gjrGARCH","linearSV",113,0.0239428245941996,0.79159455645975,0.428597121986417,"linearSV","qlike"
"gjrGARCH","regimeSwitchingSV",113,0.0363226146314729,0.72500735267963,0.468447519698541,"regimeSwitchingSV","qlike"
"gjrGARCH","nonlinearSV",113,0.0528598446336611,0.827982665187987,0.40768031714004,"nonlinearSV","qlike"
"eGARCH","harRV",113,0.0913544787390564,1.20337717635264,0.22883039594161,"harRV","qlike"
"eGARCH","linearSV",113,0.137185771501757,1.40862513441185,0.158946042725552,"linearSV","qlike"
"eGARCH","regimeSwitchingSV",113,0.14956556153903,1.28120527045558,0.200121575393812,"regimeSwitchingSV","qlike"
"eGARCH","nonlinearSV",113,0.166102791541219,1.32365059234321,0.185619114457917,"nonlinearSV","qlike"
"harRV","linearSV",113,0.0458312927627007,0.691897364501262,0.489001785841369,"linearSV","qlike"
"harRV","regimeSwitchingSV",113,0.058211082799974,0.689619912752905,0.490433241614542,"regimeSwitchingSV","qlike"
"harRV","nonlinearSV",113,0.0747483128021622,0.814587641416381,0.415308386954409,"nonlinearSV","qlike"
"linearSV","regimeSwitchingSV",113,0.0123797900372733,0.503573172093302,0.614561348966913,"regimeSwitchingSV","qlike"
"linearSV","nonlinearSV",113,0.0289170200394615,0.703452315509147,0.481773913545023,"nonlinearSV","qlike"
"regimeSwitchingSV","nonlinearSV",113,0.0165372300021882,0.546146340058707,0.5849653481216,"nonlinearSV","qlike"
