"loss","regime","n","model_A","model_B","mean_diff","statistic","p_value","better"
"qlike","high",113,"sGARCH","gjrGARCH",0.00096290860970087,0.0263192428423779,0.979002706658446,"gjrGARCH"
"qlike","high",113,"sGARCH","eGARCH",-0.112280038297857,-1.47369897016276,0.140562660267012,"sGARCH"
"qlike","high",113,"sGARCH","harRV",-0.0209255595588002,-0.297230278332,0.766290707083927,"sGARCH"
"qlike","high",113,"sGARCH","linearSV",0.0249057332039005,0.59498910200685,0.551850755697676,"linearSV"
"qlike","high",113,"sGARCH","regimeSwitchingSV",0.0372855232411738,0.687791534068732,0.491584068133801,"regimeSwitchingSV"
"qlike","high",113,"sGARCH","nonlinearSV",0.0538227532433619,0.790230034731771,0.429393438512335,"nonlinearSV"
"qlike","high",113,"gjrGARCH","eGARCH",-0.113242946907557,-1.35123752828672,0.176619356574208,"gjrGARCH"
"qlike","high",113,"gjrGARCH","harRV",-0.0218884681685011,-0.333426451969348,0.738812398631556,"gjrGARCH"
"qlike","high",113,"gjrGARCH","linearSV",0.0239428245941996,0.79159455645975,0.428597121986417,"linearSV"
"qlike","high",113,"gjrGARCH","regimeSwitchingSV",0.0363226146314729,0.72500735267963,0.468447519698541,"regimeSwitchingSV"
"qlike","high",113,"gjrGARCH","nonlinearSV",0.0528598446336611,0.827982665187987,0.40768031714004,"nonlinearSV"
"qlike","high",113,"eGARCH","harRV",0.0913544787390564,1.20337717635264,0.22883039594161,"harRV"
"qlike","high",113,"eGARCH","linearSV",0.137185771501757,1.40862513441185,0.158946042725552,"linearSV"
"qlike","high",113,"eGARCH","regimeSwitchingSV",0.14956556153903,1.28120527045558,0.200121575393812,"regimeSwitchingSV"
"qlike","high",113,"eGARCH","nonlinearSV",0.166102791541219,1.32365059234321,0.185619114457917,"nonlinearSV"
"qlike","high",113,"harRV","linearSV",0.0458312927627007,0.691897364501262,0.489001785841369,"linearSV"
"qlike","high",113,"harRV","regimeSwitchingSV",0.058211082799974,0.689619912752905,0.490433241614542,"regimeSwitchingSV"
"qlike","high",113,"harRV","nonlinearSV",0.0747483128021622,0.814587641416381,0.415308386954409,"nonlinearSV"
"qlike","high",113,"linearSV","regimeSwitchingSV",0.0123797900372733,0.503573172093302,0.614561348966913,"regimeSwitchingSV"
"qlike","high",113,"linearSV","nonlinearSV",0.0289170200394615,0.703452315509147,0.481773913545023,"nonlinearSV"
"qlike","high",113,"regimeSwitchingSV","nonlinearSV",0.0165372300021882,0.546146340058707,0.5849653481216,"nonlinearSV"
"qlike","low",40,"sGARCH","gjrGARCH",0.0278492793622442,0.642443526078536,0.520585246247021,"gjrGARCH"
"qlike","low",40,"sGARCH","eGARCH",0.0294845682984553,0.390961373276612,0.695825787660069,"eGARCH"
"qlike","low",40,"sGARCH","harRV",0.0782192494482419,1.16535746112132,0.243874328736342,"harRV"
"qlike","low",40,"sGARCH","linearSV",0.016990792110206,0.254330199938606,0.799240470493346,"linearSV"
"qlike","low",40,"sGARCH","regimeSwitchingSV",-0.049805171305939,-0.656371108813238,0.511585374878471,"sGARCH"
"qlike","low",40,"sGARCH","nonlinearSV",-0.0510443082571413,-0.686486499339658,0.492406374905882,"sGARCH"
"qlike","low",40,"gjrGARCH","eGARCH",0.00163528893621116,0.02996854780988,0.976092137110198,"eGARCH"
"qlike","low",40,"gjrGARCH","harRV",0.0503699700859978,1.15140780551519,0.249564504153372,"harRV"
"qlike","low",40,"gjrGARCH","linearSV",-0.0108584872520382,-0.290328905515253,0.771564627302683,"gjrGARCH"
"qlike","low",40,"gjrGARCH","regimeSwitchingSV",-0.0776544506681832,-1.44282742347215,0.149069091933772,"gjrGARCH"
"qlike","low",40,"gjrGARCH","nonlinearSV",-0.0788935876193855,-1.81622754740927,0.0693354740217208,"gjrGARCH"
"qlike","low",40,"eGARCH","harRV",0.0487346811497866,0.795350195255317,0.426409822627396,"harRV"
"qlike","low",40,"eGARCH","linearSV",-0.0124937761882493,-0.188372125605985,0.850584949075492,"eGARCH"
"qlike","low",40,"eGARCH","regimeSwitchingSV",-0.0792897396043943,-1.05234534545227,0.292641134308008,"eGARCH"
"qlike","low",40,"eGARCH","nonlinearSV",-0.0805288765555966,-1.20616118842769,0.227755345609014,"eGARCH"
"qlike","low",40,"harRV","linearSV",-0.061228457338036,-2.06740550835462,0.0386959596482186,"harRV"
"qlike","low",40,"harRV","regimeSwitchingSV",-0.128024420754181,-2.13805514711408,0.0325122676717737,"harRV"
"qlike","low",40,"harRV","nonlinearSV",-0.129263557705383,-2.71267653752988,0.00667422200215967,"harRV"
"qlike","low",40,"linearSV","regimeSwitchingSV",-0.066795963416145,-1.84686267379623,0.0647670456702839,"linearSV"
"qlike","low",40,"linearSV","nonlinearSV",-0.0680351003673473,-2.84784721645836,0.00440160500812157,"linearSV"
"qlike","low",40,"regimeSwitchingSV","nonlinearSV",-0.00123913695120228,-0.05421190982663,0.956766331969922,"regimeSwitchingSV"
"negative_lps","high",113,"sGARCH","gjrGARCH",0.00442310311920146,0.37641730206212,0.706606685085772,"gjrGARCH"
"negative_lps","high",113,"sGARCH","eGARCH",-0.0284948722448738,-1.12376495253366,0.261112753320409,"sGARCH"
"negative_lps","high",113,"sGARCH","harRV",0.00797996558621142,0.36682617828593,0.713748679371094,"harRV"
"negative_lps","high",113,"sGARCH","linearSV",0.0182380965236945,1.43908432076499,0.150126633810991,"linearSV"
"negative_lps","high",113,"sGARCH","regimeSwitchingSV",0.0274140986380082,1.60449985972698,0.108603915358255,"regimeSwitchingSV"
"negative_lps","high",113,"sGARCH","nonlinearSV",0.0285391696054626,1.37118823855889,0.170316283650055,"nonlinearSV"
"negative_lps","high",113,"gjrGARCH","eGARCH",-0.0329179753640752,-1.19763650436004,0.231058558301059,"gjrGARCH"
"negative_lps","high",113,"gjrGARCH","harRV",0.00355686246700996,0.179113838166749,0.857848316432147,"harRV"
"negative_lps","high",113,"gjrGARCH","linearSV",0.0138149934044931,1.22470699527943,0.220685637529593,"linearSV"
"negative_lps","high",113,"gjrGARCH","regimeSwitchingSV",0.0229909955188067,1.33886402073823,0.180614944425773,"regimeSwitchingSV"
"negative_lps","high",113,"gjrGARCH","nonlinearSV",0.0241160664862611,1.21888953731535,0.222886121297909,"nonlinearSV"
