"Model_A","Model_B","N","mean_loss_A_minus_B","statistic","p_value","better_model","loss"
"sGARCH","gjrGARCH",153,0.0891359453103634,1.8518285866806,0.0640504412828156,"gjrGARCH","fz05"
"sGARCH","eGARCH",153,0.0568407515488208,0.730134367803348,0.465308055662602,"eGARCH","fz05"
"sGARCH","linearSV",153,0.0836026628372323,1.35032917441141,0.176910418159406,"linearSV","fz05"
"sGARCH","regimeSwitchingSV",153,0.0892495422461402,1.25310171067663,0.210168693567113,"regimeSwitchingSV","fz05"
"sGARCH","nonlinearSV",153,0.0520743891392828,0.680809051037859,0.495992322212569,"nonlinearSV","fz05"
"sGARCH","harRV",153,0.0894744010739538,1.02000078839988,0.307728086836016,"harRV","fz05"
"gjrGARCH","eGARCH",153,-0.0322951937615426,-0.436254514836294,0.662652079175196,"gjrGARCH","fz05"
"gjrGARCH","linearSV",153,-0.00553328247313111,-0.125453492991934,0.900164541293736,"gjrGARCH","fz05"
"gjrGARCH","regimeSwitchingSV",153,0.000113596935776837,0.00222975294228724,0.998220916027152,"regimeSwitchingSV","fz05"
"gjrGARCH","nonlinearSV",153,-0.0370615561710806,-0.647345292840583,0.517408494007053,"gjrGARCH","fz05"
"gjrGARCH","harRV",153,0.000338455763590459,0.00454163686394552,0.996376310522807,"harRV","fz05"
"eGARCH","linearSV",153,0.0267619112884115,0.413616390068409,0.679155067943978,"linearSV","fz05"
"eGARCH","regimeSwitchingSV",153,0.0324087906973194,0.432691517961521,0.665238892720126,"regimeSwitchingSV","fz05"
"eGARCH","nonlinearSV",153,-0.00476636240953802,-0.071245761574426,0.943202161455723,"eGARCH","fz05"
"eGARCH","harRV",153,0.0326336495251331,0.367192724042159,0.713475266217613,"harRV","fz05"
"linearSV","regimeSwitchingSV",153,0.00564687940890794,0.255194165486442,0.798573137190033,"regimeSwitchingSV","fz05"
"linearSV","nonlinearSV",153,-0.0315282736979495,-0.948470091852161,0.342890191550882,"linearSV","fz05"
"linearSV","harRV",153,0.00587173823672156,0.113640578311542,0.909522718856011,"harRV","fz05"
"regimeSwitchingSV","nonlinearSV",153,-0.0371751531068575,-1.22774921578891,0.219541124966012,"regimeSwitchingSV","fz05"
"regimeSwitchingSV","harRV",153,0.000224858827813627,0.00346340941979589,0.997236604620789,"harRV","fz05"
"nonlinearSV","harRV",153,0.0374000119346711,0.518084987492157,0.60439897410873,"harRV","fz05"
