"Model_A","Model_B","N","mean_loss_A_minus_B","statistic","p_value","better_model","loss"
"sGARCH","gjrGARCH",113,0.0585467367130409,1.20761952279697,0.227193646258604,"gjrGARCH","fz05"
"sGARCH","eGARCH",113,-0.0222672063009011,-0.274072160030622,0.784029168034031,"sGARCH","fz05"
"sGARCH","harRV",113,0.0373529561125512,0.348413556444988,0.72752962301235,"harRV","fz05"
"sGARCH","linearSV",113,0.0344151374892145,0.547462161778265,0.584061259142623,"linearSV","fz05"
"sGARCH","regimeSwitchingSV",113,0.052141437005541,0.651315315373271,0.514842963927312,"regimeSwitchingSV","fz05"
"sGARCH","nonlinearSV",113,0.00989635860112744,0.109347776836304,0.912926653319011,"nonlinearSV","fz05"
"gjrGARCH","eGARCH",113,-0.080813943013942,-0.927462055138473,0.353686684172451,"gjrGARCH","fz05"
"gjrGARCH","harRV",113,-0.0211937806004897,-0.225728958951069,0.82141223334057,"gjrGARCH","fz05"
"gjrGARCH","linearSV",113,-0.0241315992238264,-0.504883558190545,0.613640622887634,"gjrGARCH","fz05"
"gjrGARCH","regimeSwitchingSV",113,-0.00640529970749988,-0.107530893469555,0.914367817958413,"gjrGARCH","fz05"
"gjrGARCH","nonlinearSV",113,-0.0486503781119135,-0.671085129753257,0.502166299421619,"gjrGARCH","fz05"
"eGARCH","harRV",113,0.0596201624134523,0.535343384122224,0.592412431762317,"harRV","fz05"
"eGARCH","linearSV",113,0.0566823437901156,0.689289204593954,0.490641290097184,"linearSV","fz05"
"eGARCH","regimeSwitchingSV",113,0.0744086433064421,0.77076718091427,0.440844943448479,"regimeSwitchingSV","fz05"
"eGARCH","nonlinearSV",113,0.0321635649020285,0.375215106194336,0.707500496439683,"nonlinearSV","fz05"
"harRV","linearSV",113,-0.00293781862333667,-0.0420673019304889,0.966445046364879,"harRV","fz05"
"harRV","regimeSwitchingSV",113,0.0147884808929898,0.166823544146274,0.8675088927304,"regimeSwitchingSV","fz05"
"harRV","nonlinearSV",113,-0.0274565975114238,-0.287410144254703,0.773798294730842,"harRV","fz05"
"linearSV","regimeSwitchingSV",113,0.0177262995163265,0.61214568067402,0.54044137655897,"regimeSwitchingSV","fz05"
"linearSV","nonlinearSV",113,-0.0245187788880871,-0.549222771227499,0.582852579144087,"linearSV","fz05"
"regimeSwitchingSV","nonlinearSV",113,-0.0422450784044136,-1.03973900467682,0.298461173982416,"regimeSwitchingSV","fz05"
