"Model_A","Model_B","N","mean_loss_A_minus_B","statistic","p_value","better_model","loss"
"sGARCH","gjrGARCH",153,0.00623566547990375,0.64229211521685,0.520683532829124,"gjrGARCH","negative_lps"
"sGARCH","eGARCH",153,-0.0185034167115303,-0.863770433645409,0.387714012835027,"sGARCH","negative_lps"
"sGARCH","linearSV",153,0.0165456374080208,1.5616705181085,0.118365627508275,"linearSV","negative_lps"
"sGARCH","regimeSwitchingSV",153,0.0182851818189995,1.40825024245597,0.159056983684543,"regimeSwitchingSV","negative_lps"
"sGARCH","nonlinearSV",153,0.0184774863237846,1.24713076199215,0.212349555115946,"nonlinearSV","negative_lps"
"sGARCH","harRV",153,0.0144519185145425,0.837590586018475,0.40226068180694,"harRV","negative_lps"
"gjrGARCH","eGARCH",153,-0.024739082191434,-1.1283047481624,0.259191238909721,"gjrGARCH","negative_lps"
"gjrGARCH","linearSV",153,0.010309971928117,1.11676453595591,0.26409501593129,"linearSV","negative_lps"
"gjrGARCH","regimeSwitchingSV",153,0.0120495163390957,0.919365949111068,0.357904193487533,"regimeSwitchingSV","negative_lps"
"gjrGARCH","nonlinearSV",153,0.0122418208438809,0.856398751075696,0.391777255273475,"nonlinearSV","negative_lps"
"gjrGARCH","harRV",153,0.00821625303463876,0.521848591416404,0.601775754361348,"harRV","negative_lps"
"eGARCH","linearSV",153,0.035049054119551,1.5233450618018,0.127672398926686,"linearSV","negative_lps"
"eGARCH","regimeSwitchingSV",153,0.0367885985305297,1.35795617942199,0.174477589315704,"regimeSwitchingSV","negative_lps"
"eGARCH","nonlinearSV",153,0.0369809030353149,1.35676577873687,0.174855644253428,"nonlinearSV","negative_lps"
"eGARCH","harRV",153,0.0329553352260728,1.74259531472491,0.0814043290246064,"harRV","negative_lps"
"linearSV","regimeSwitchingSV",153,0.00173954441097873,0.293016000822485,0.769509921325559,"regimeSwitchingSV","negative_lps"
"linearSV","nonlinearSV",153,0.00193184891576388,0.231333428847321,0.817055778447172,"nonlinearSV","negative_lps"
"linearSV","harRV",153,-0.00209371889347826,-0.146438789129028,0.883575008046447,"linearSV","negative_lps"
"regimeSwitchingSV","nonlinearSV",153,0.000192304504785152,0.0293968861594733,0.976548056217724,"nonlinearSV","negative_lps"
"regimeSwitchingSV","harRV",153,-0.00383326330445698,-0.205001760869363,0.837570749268812,"regimeSwitchingSV","negative_lps"
"nonlinearSV","harRV",153,-0.00402556780924213,-0.210943275478925,0.832931534868783,"nonlinearSV","negative_lps"
