"Model_A","Model_B","N","mean_loss_A_minus_B","statistic","p_value","better_model","loss"
"sGARCH","gjrGARCH",113,0.00442310311920146,0.37641730206212,0.706606685085772,"gjrGARCH","negative_lps"
"sGARCH","eGARCH",113,-0.0284948722448738,-1.12376495253366,0.261112753320409,"sGARCH","negative_lps"
"sGARCH","harRV",113,0.00797996558621142,0.36682617828593,0.713748679371094,"harRV","negative_lps"
"sGARCH","linearSV",113,0.0182380965236945,1.43908432076499,0.150126633810991,"linearSV","negative_lps"
"sGARCH","regimeSwitchingSV",113,0.0274140986380082,1.60449985972698,0.108603915358255,"regimeSwitchingSV","negative_lps"
"sGARCH","nonlinearSV",113,0.0285391696054626,1.37118823855889,0.170316283650055,"nonlinearSV","negative_lps"
"gjrGARCH","eGARCH",113,-0.0329179753640752,-1.19763650436004,0.231058558301059,"gjrGARCH","negative_lps"
"gjrGARCH","harRV",113,0.00355686246700996,0.179113838166749,0.857848316432147,"harRV","negative_lps"
"gjrGARCH","linearSV",113,0.0138149934044931,1.22470699527943,0.220685637529593,"linearSV","negative_lps"
"gjrGARCH","regimeSwitchingSV",113,0.0229909955188067,1.33886402073823,0.180614944425773,"regimeSwitchingSV","negative_lps"
"gjrGARCH","nonlinearSV",113,0.0241160664862611,1.21888953731535,0.222886121297909,"nonlinearSV","negative_lps"
"eGARCH","harRV",113,0.0364748378310852,1.35070494620819,0.176789967220646,"harRV","negative_lps"
"eGARCH","linearSV",113,0.0467329687685683,1.48313079480714,0.138039663643319,"linearSV","negative_lps"
"eGARCH","regimeSwitchingSV",113,0.0559089708828819,1.48814593602833,0.136712411407842,"regimeSwitchingSV","negative_lps"
"eGARCH","nonlinearSV",113,0.0570340418503364,1.45194418274161,0.146517126028563,"nonlinearSV","negative_lps"
"harRV","linearSV",113,0.0102581309374831,0.52226989081763,0.601482429873264,"linearSV","negative_lps"
"harRV","regimeSwitchingSV",113,0.0194341330517967,0.741356829961052,0.458477112420142,"regimeSwitchingSV","negative_lps"
"harRV","nonlinearSV",113,0.0205592040192512,0.761911499803569,0.446112826020981,"nonlinearSV","negative_lps"
"linearSV","regimeSwitchingSV",113,0.00917600211431362,1.11126826085806,0.266452896828255,"regimeSwitchingSV","negative_lps"
"linearSV","nonlinearSV",113,0.0103010730817681,0.854357205649939,0.392907099691994,"nonlinearSV","negative_lps"
"regimeSwitchingSV","nonlinearSV",113,0.00112507096745444,0.129930935823106,0.896621068499093,"nonlinearSV","negative_lps"
