"input","horizon","median","q05","q95"
"y_positive",0,-0.0829247386488232,-0.426278741309873,0.195415629813582
"y_positive",1,-0.0567344372276908,-0.297407129064517,0.130837334352061
"y_positive",2,-0.0386145416452211,-0.215679949186383,0.0876680475810713
"y_positive",3,-0.0257886530879965,-0.160776769158016,0.060939444196787
"y_positive",4,-0.0167996338595672,-0.120380094814871,0.0422187185556566
"y_positive",5,-0.0108129895143916,-0.0927190346325134,0.0296343630385118
"y_positive",6,-0.00711162467210926,-0.0726886197122873,0.0212495393672932
"y_positive",7,-0.00468986963539821,-0.057464079650898,0.0158086699145391
"y_positive",8,-0.0030488854015519,-0.0460151894817638,0.0117345019491676
"y_positive",9,-0.00205007564153133,-0.0361904713121331,0.00854721910864812
"y_positive",10,-0.00131624236105373,-0.0283257994637898,0.00632679120282023
"y_positive",11,-0.000863643454405459,-0.0233638429191346,0.00479110937525408
"y_positive",12,-0.000549290664490751,-0.0190391211299786,0.00358769775278939
"y_negative",0,0.130230643069113,-0.160855023715117,0.531702798285813
"y_negative",1,0.0890699461401064,-0.106351751033363,0.371013953234321
"y_negative",2,0.0607119539807325,-0.0725857104170161,0.267002034709785
"y_negative",3,0.0414634191736904,-0.0499267273013713,0.202379267684022
"y_negative",4,0.0274166406764074,-0.0343259512190293,0.150055703526822
"y_negative",5,0.0181868693725374,-0.0237122703791821,0.117535650711797
"y_negative",6,0.0122216787551257,-0.0165570999569539,0.093940371661154
"y_negative",7,0.00803080890332811,-0.0121401923005606,0.0764477104372853
"y_negative",8,0.00529764198732884,-0.00868195274491976,0.0614154092272487
"y_negative",9,0.00358485518147332,-0.00639650837348616,0.0488201449636214
"y_negative",10,0.00234925018480723,-0.00461589168983603,0.0387828193064509
"y_negative",11,0.00155625417592054,-0.00339450371778707,0.0303659978841211
"y_negative",12,0.00103701787269121,-0.00255215857385269,0.0244056025146842
"GCPU_baseline",0,0.0344751778616336,-0.215549876186595,0.328667862667161
"GCPU_baseline",1,0.02281841046722,-0.149586165401126,0.210720325337755
"GCPU_baseline",2,0.0148199546565289,-0.106217108197001,0.146137548382738
"GCPU_baseline",3,0.0101168015074485,-0.07777243765872,0.103536793585013
"GCPU_baseline",4,0.00651240709745569,-0.0567595039715749,0.0766344306003523
"GCPU_baseline",5,0.00414476008252283,-0.0428876331025334,0.0569842965715248
"GCPU_baseline",6,0.00259655074401174,-0.0321773205030211,0.0426752450431105
"GCPU_baseline",7,0.00157659085171739,-0.0246677089919402,0.0327533154654807
"GCPU_baseline",8,0.000975030248444475,-0.0181293304622553,0.0255758066824852
"GCPU_baseline",9,0.000578328825086903,-0.0144698754295926,0.0195717750552205
"GCPU_baseline",10,0.000340752477655267,-0.0114086138913001,0.0154572995750354
"GCPU_baseline",11,0.000206850958282804,-0.00888172966318266,0.0120547447933229
"GCPU_baseline",12,0.000121875763355502,-0.00694040701388008,0.0096492864582762
"l_t",0,0.109861243053331,-0.112120995058445,0.395873802912039
"l_t",1,0.0755353155143285,-0.0742241002687258,0.258893455157909
"l_t",2,0.0512415788065576,-0.0538287724191439,0.17413792555234
"l_t",3,0.034264215004253,-0.0398618943325016,0.126567030906464
"l_t",4,0.0228838749052494,-0.0275966983096966,0.092059704260201
"l_t",5,0.0151508962425459,-0.0205244234012177,0.0687480029581103
"l_t",6,0.00999147099584433,-0.0151634831934059,0.0517281350836668
"l_t",7,0.00660333693849843,-0.0114179675175388,0.0400109617067893
"l_t",8,0.00432158279698029,-0.00877613593217057,0.0317082717243234
"l_t",9,0.00288738297339961,-0.00643760208040163,0.0252981833758506
"l_t",10,0.00193241513374092,-0.00455244042493179,0.0200836032798608
"l_t",11,0.00130854850263487,-0.0033763847414487,0.0159885257835253
"l_t",12,0.000880412409322041,-0.00249905766442102,0.0127693412563971
"c_t",0,0.0166252491242271,-0.25715960924951,0.294644998032718
"c_t",1,0.0116787340572747,-0.17510891975982,0.200942186543481
"c_t",2,0.00798628756121365,-0.12600194546195,0.147595029324627
"c_t",3,0.00533116183789797,-0.0900365697053093,0.107988880882261
"c_t",4,0.00348486507253127,-0.0669533956436221,0.0795323077194213
"c_t",5,0.00221877948099413,-0.0515574723073659,0.0588432713980156
"c_t",6,0.00137712747587458,-0.0396882495105353,0.0451108969725653
"c_t",7,0.00086665576302228,-0.0301218646580349,0.0350964677878723
"c_t",8,0.000518381062896239,-0.0236117915335279,0.0274854428881159
"c_t",9,0.000302745286197336,-0.0185040314170177,0.0211126361414979
"c_t",10,0.000172295159095898,-0.0144388659019575,0.0161959586186855
"c_t",11,9.8698931494361e-05,-0.011422075041474,0.0123158431034375
"c_t",12,5.38456452374355e-05,-0.00896511888446215,0.00966329473656093
"itraxx",0,-0.335826699890966,-0.767303328801197,-0.0599428816886765
"itraxx",1,-0.230519156274927,-0.527024989541938,-0.0409329607791383
"itraxx",2,-0.156067964883334,-0.392545786776046,-0.0254444479438258
"itraxx",3,-0.10754623790423,-0.288494731542088,-0.0160593699961487
"itraxx",4,-0.0738930519476225,-0.223246100911222,-0.00917825274264454
"itraxx",5,-0.0501930059925547,-0.176590469123224,-0.00497607444802827
"itraxx",6,-0.0347548559567068,-0.142105447771943,-0.00263449309196018
"itraxx",7,-0.0241290371224315,-0.114728761018676,-0.00136540587054818
"itraxx",8,-0.0166511918983979,-0.0906028785811046,-0.000667567902639029
"itraxx",9,-0.0115004318713824,-0.0729998645649561,-0.000366262892277586
"itraxx",10,-0.00794037606031895,-0.0590998378841334,-0.000208974740605154
"itraxx",11,-0.00555870530988401,-0.0478205189595048,-0.000114147538559805
"itraxx",12,-0.00383129287197837,-0.0392002841537645,-6.16294881498739e-05
"Term_Spread",0,-0.0214827880548331,-0.277367298440754,0.23178019919026
"Term_Spread",1,-0.0151902562915238,-0.195951442730777,0.148529429050148
"Term_Spread",2,-0.0103672830693961,-0.136832165013655,0.100164318105596
"Term_Spread",3,-0.0067861090403436,-0.0989848887935167,0.0698489595437428
"Term_Spread",4,-0.00437568254429704,-0.0729244129855885,0.050647408984319
"Term_Spread",5,-0.00285040965957811,-0.0547289676689863,0.0378296869450556
"Term_Spread",6,-0.0018035791894713,-0.0414303516668972,0.0283986813078073
"Term_Spread",7,-0.00118267508120642,-0.0314688454146312,0.0207638579944004
"Term_Spread",8,-0.000748172062305548,-0.0248718851433353,0.0156918745853316
"Term_Spread",9,-0.000478410540273223,-0.0194898255696449,0.0117052886314083
"Term_Spread",10,-0.000285049648467976,-0.0148920274971945,0.00898924272337259
"Term_Spread",11,-0.000171472682807101,-0.0116009014831313,0.00681520448684497
"Term_Spread",12,-0.000103187513073006,-0.00907950222668843,0.00523569623510064
"Brent_return",0,-0.164118484943967,-0.529412868418117,0.150179833324694
"Brent_return",1,-0.113684053472713,-0.365976419665577,0.100662257791929
"Brent_return",2,-0.0772946759064384,-0.259034272199054,0.0660261764473735
"Brent_return",3,-0.0523180196489643,-0.19161312811567,0.0458583934294844
"Brent_return",4,-0.0348918549300321,-0.147896942866361,0.0319372172690839
"Brent_return",5,-0.0232995987285313,-0.11572828294999,0.0232512536847222
"Brent_return",6,-0.0155433604072514,-0.0903506585827004,0.0161464674049204
"Brent_return",7,-0.0105559806599848,-0.0708638682668346,0.0111934413786379
"Brent_return",8,-0.00707896047785544,-0.056611198907317,0.0076120866042271
"Brent_return",9,-0.00479364550673674,-0.0449960850532075,0.00545821496047506
"Brent_return",10,-0.00319848227803369,-0.0361744448867972,0.00393419852492965
"Brent_return",11,-0.00219271833109348,-0.0300119072118374,0.00275854458239594
"Brent_return",12,-0.001479680300794,-0.0241964418702376,0.00198731577218229
"TTF_return",0,-0.0116940737585623,-0.302559971831824,0.263300783798683
"TTF_return",1,-0.00791665665565316,-0.198111046734614,0.17662011669095
"TTF_return",2,-0.00564882379434341,-0.141262282488765,0.119224607984575
"TTF_return",3,-0.00368050701190744,-0.103127609501121,0.0864841347829793
"TTF_return",4,-0.00237060103724556,-0.0753084356552342,0.0602186025042971
"TTF_return",5,-0.00146910489600808,-0.0580078105478122,0.0436999549883439
"TTF_return",6,-0.000880005750884874,-0.0452601004519644,0.0330170574129487
"TTF_return",7,-0.000535043655540091,-0.0362127273882327,0.0255407979556877
"TTF_return",8,-0.000338324588639723,-0.0277309256058419,0.0193044659360089
"TTF_return",9,-0.000202176726375929,-0.0210465096674034,0.0147219744213035
"TTF_return",10,-0.000116758089350937,-0.0162747513739919,0.011452817816854
"TTF_return",11,-6.51969384480472e-05,-0.0125000979218169,0.00868193921772134
"TTF_return",12,-3.79581767105374e-05,-0.00960176319826597,0.00681054627722697
"VSTOXX",0,0.205670369843318,-0.0351728195286052,0.541276556354605
"VSTOXX",1,0.141625390376429,-0.0287819295529727,0.343031931209888
"VSTOXX",2,0.096120754749078,-0.0197566916520508,0.22739969888962
"VSTOXX",3,0.0652718824928943,-0.0144903198894464,0.161196476265952
"VSTOXX",4,0.0436324072328809,-0.0107159786875166,0.115158000359785
"VSTOXX",5,0.0297270816585758,-0.00767011025554694,0.0858809078895404
"VSTOXX",6,0.0199729248471348,-0.00563716871772225,0.0659902978457533
"VSTOXX",7,0.0135668211620489,-0.00402650534852925,0.0517751429640816
"VSTOXX",8,0.00912718200053167,-0.00281569692757659,0.0402703613842605
"VSTOXX",9,0.00625508479291716,-0.00210892983519887,0.031606053218283
"VSTOXX",10,0.00421240795287199,-0.00153709423256867,0.0253222370650336
"VSTOXX",11,0.00284333767682943,-0.00115545171045532,0.0206786153566644
"VSTOXX",12,0.001927832064924,-0.000786045932199702,0.0162863214028541
"COVID_dummy",0,0.299168423228046,0.0648104542768651,0.632736181592024
"COVID_dummy",1,0.204844243169277,0.0498293828247312,0.40090868825331
"COVID_dummy",2,0.140439544631037,0.0336119610481854,0.272638381243752
"COVID_dummy",3,0.095284587109462,0.0224686863545133,0.199882636784704
"COVID_dummy",4,0.0657144631275229,0.014547526005947,0.150235291987245
"COVID_dummy",5,0.0455577932730687,0.00858946881656255,0.11582862372671
"COVID_dummy",6,0.0312538984486601,0.00497323627517844,0.0933233222034583
"COVID_dummy",7,0.0215208527846692,0.00285334217233717,0.0725160119597854
"COVID_dummy",8,0.0148621726198771,0.00159120524043437,0.0576342595145961
"COVID_dummy",9,0.010325919189261,0.00087225181658501,0.0462803268742422
"COVID_dummy",10,0.00710097189029395,0.000466128102902798,0.0375258320197479
"COVID_dummy",11,0.00490871369877359,0.000250007368235462,0.0304307553424176
"COVID_dummy",12,0.00341777112723798,0.000126778879295531,0.0248131749317114
"Energy_crisis_dummy",0,0.0396466076897909,-0.179272169513589,0.277676923140083
"Energy_crisis_dummy",1,0.0269345699428627,-0.118804089887303,0.177828313177299
"Energy_crisis_dummy",2,0.0182424999481646,-0.0831446675556369,0.120082392927229
"Energy_crisis_dummy",3,0.0121874335037625,-0.0592550507173258,0.0853028798790868
"Energy_crisis_dummy",4,0.00804911905739515,-0.043555713783011,0.0628675433878
"Energy_crisis_dummy",5,0.00521313676908543,-0.031571532398325,0.0472228789383857
"Energy_crisis_dummy",6,0.00311884000149558,-0.0227879241626435,0.0358786294511567
"Energy_crisis_dummy",7,0.00205526060825987,-0.0171993780153517,0.0274291078694438
"Energy_crisis_dummy",8,0.00128824675583651,-0.0130151382785873,0.0213904298488883
"Energy_crisis_dummy",9,0.000776446504583724,-0.0101717386143332,0.0167708824261987
"Energy_crisis_dummy",10,0.000490359194472586,-0.00763842429825967,0.0127619482918799
"Energy_crisis_dummy",11,0.00029973885865981,-0.00579172338020294,0.0102612862634956
"Energy_crisis_dummy",12,0.000193215769681108,-0.00438661346122981,0.00835926057955993
