"input","g_sd_full","g_sd_ablated","drop","drop_pct","drop_q025","drop_q975","retained"
"itraxx",0.340898916955095,0.300742503361649,0.0401564135934457,11.7795661987202,0.00275654179836914,0.0884432054062441,0.272441571392877
"VSTOXX",0.340898916955095,0.318547432759669,0.022351484195426,6.55663103745509,-0.0101560572454858,0.063732112854521,0.173907888257455
"COVID_dummy",0.340898916955095,0.321685698940189,0.0192132180149056,5.63604548425025,-0.0054249835696961,0.0557450874543859,0.198088920562191
"Brent_return",0.340898916955095,0.332712457931932,0.00818645902316295,2.40143298086257,-0.0120307782443627,0.0381618963154815,0.15125166952811
"l_t",0.340898916955095,0.33867744119261,0.00222147576248438,0.651652337979416,-0.0274830910061814,0.0293504196139571,0.114543477653848
"TTF_return",0.340898916955095,0.342270535412009,-0.00137161845691408,-0.402353421702058,-0.0151796594021207,0.0129036731995461,0.0989113560620059
"Energy_crisis_dummy",0.340898916955095,0.342342973423499,-0.00144405646840418,-0.423602539222615,-0.0319061404068219,0.0268472072835462,0.0682525329703833
"y_positive",0.340898916955095,0.343076454283348,-0.00217753732825354,-0.638763345951135,-0.0216015608767812,0.0175624043936508,0.104736151094306
"GCPU_baseline",0.340898916955095,0.343540227206233,-0.00264131025113806,-0.774807463376597,-0.0215282625834804,0.0170773954055712,0.0954816204095653
"Term_Spread",0.340898916955095,0.343719126640115,-0.00282020968501995,-0.827286196802861,-0.029127348080239,0.0174886184947924,0.0873715076160569
"c_t",0.340898916955095,0.344109414087335,-0.00321049713224053,-0.941773931380204,-0.0201032734680927,0.0156506199501764,0.0992283562405732
"y_negative",0.340898916955095,0.355370885318609,-0.0144719683635139,-4.24523741312451,-0.0440935510040637,0.0200719401113063,0.116575341920873
