"Model","refit_id","train_T","max_Rhat","min_bulk_ESS","min_tail_ESS","divergences","min_E_BFMI"
"nonlinearSV",1,304,1.00275247085686,2790.31410238345,4551.55353258979,1,0.826081051914515
"nonlinearSV",1,356,1.00099105186659,2671.93958092832,5336.842347295,3,0.852222240054933
"nonlinearSV",2,369,1.00080890268229,2394.23919927715,4236.08400832559,0,0.787952077747039
"nonlinearSV",3,382,1.00147060625526,2864.67863035489,5359.14348291501,1,0.822407149359103
"nonlinearSV",4,395,1.00089091759037,2788.46238359071,4094.42382649146,0,0.8152580092997
"nonlinearSV",5,408,1.00088424682351,2690.62306839461,5137.33300670516,2,0.811937666905794
"nonlinearSV",6,421,1.00129354561171,2345.69854582008,3831.57904570369,1,0.838495967399274
"nonlinearSV",7,434,1.0012041941921,2383.39232221114,2917.89224163896,6,0.848171520751352
"nonlinearSV",8,447,1.00145863945997,1865.87162389439,1577.70720153134,1,0.792752007146362
"nonlinearSV",9,460,1.00143188053354,1793.49331993603,1860.09799759205,0,0.822738030803868
"nonlinearSV",10,473,1.00118979361617,2519.53983384039,2752.35006592858,0,0.792547530385858
"nonlinearSV",11,486,1.00093108927368,2090.50801926982,2108.48718584454,1,0.794463402315784
"nonlinearSV",12,499,1.00128256458299,2486.29798594424,2770.60971930832,0,0.774751638341133
"linearSV",1,304,1.00075721280248,3190.31201856701,6141.22497135522,0,0.836542450165142
"linearSV",2,317,1.00058100197512,3209.25782824692,6450.64733304361,0,0.80970754924889
"linearSV",3,330,1.00304346837707,2667.96493152173,4830.71259378953,0,0.800613543234374
"linearSV",4,343,1.00197974499233,2383.17592821379,4684.1852571619,0,0.745953664295847
"linearSV",5,356,1.00242188592715,2475.18238932126,4520.03089348137,0,0.797830530630716
"linearSV",6,369,1.0019976796802,2033.65596119479,3426.34066164113,0,0.794391678408328
"linearSV",7,382,1.00162011558691,2840.75829122153,5983.91093587312,0,0.775060561184892
"linearSV",8,395,1.00141295411356,2552.34225556485,5130.2922558624,0,0.806587791551849
"linearSV",9,408,1.00103455638153,2296.6246771769,3507.19616483224,0,0.771914326855771
"linearSV",10,421,1.00079602581574,2512.15300702428,4958.76416612695,0,0.779859888121466
"linearSV",11,434,1.00053396426794,2391.71999820441,4224.99992007612,0,0.773088030206851
"linearSV",12,447,1.0014071681214,1835.57567600027,3373.97498473454,0,0.743128357959334
"linearSV",13,460,1.00177071719516,2023.60432686033,3264.39983376262,0,0.768276531301874
"linearSV",14,473,1.0037190901672,1919.80111783568,3219.50854215938,0,0.769777985518318
"linearSV",15,486,1.00238147782125,1775.95790128777,3311.03616039299,0,0.741374223656221
"linearSV",16,499,1.00212980755792,1431.29315295645,2892.23659114032,0,0.75433014323113
"regimeSwitchingSV",1,304,1.00109609083962,4419.33256836506,2964.06695703992,4,0.965159323602148
"regimeSwitchingSV",2,317,1.00100568197485,3664.85846204097,1637.91575608811,3,0.951948925726438
"regimeSwitchingSV",3,330,1.00209472700528,3123.81449388448,2825.25054352115,8,0.968288538089263
"regimeSwitchingSV",4,343,1.00083760633448,5048.91308450573,5413.16665888422,0,0.948141665372726
"regimeSwitchingSV",5,356,1.00061359276303,4950.33854662621,3509.13324375866,0,0.951079437223177
"regimeSwitchingSV",6,369,1.00087153343748,4743.77397285277,5740.78058007058,2,0.92435839714271
"regimeSwitchingSV",7,382,1.00270982502348,3805.68083792998,3114.6360014062,2,0.932375547408387
"regimeSwitchingSV",8,395,1.00105082097427,4256.82801878849,4459.20136886058,3,0.978229200142364
"regimeSwitchingSV",9,408,1.00071640672606,5129.09438295682,4887.11228780698,0,0.950107855531393
"regimeSwitchingSV",10,421,1.00115504269911,4006.1672876886,3896.64908891085,0,0.937614336106364
"regimeSwitchingSV",11,434,1.000915765465,3964.1401541558,2435.83847839012,0,0.95806239261011
"regimeSwitchingSV",12,447,1.00062964250032,4270.58557878544,3477.63778170323,0,0.951836122831158
"regimeSwitchingSV",13,460,1.0012110306742,3299.38644401994,5087.71400011422,0,0.962126701447726
"regimeSwitchingSV",14,473,1.0012463239193,4846.8248673818,5843.02536752243,0,0.938134836357351
"regimeSwitchingSV",15,486,1.00323420883814,3226.48552141101,1473.67160338552,0,0.933022387531257
"regimeSwitchingSV",16,499,1.00116613033903,4309.26272745485,4329.48668819676,0,0.932141141174686
