"Model","alpha","N","expected_exceedances","actual_exceedances","exceedance_rate","LR_UC","p_UC","LR_IND","p_IND","LR_CC","p_CC","DQ","p_DQ","FZ0_mean","mean_forecast_ES","realised_ES"
"sGARCH",0.01,153,1.53,2,0.0130718954248366,0.132977665971495,0.715364452666763,0.0533349136926553,0.817358673219968,0.18631257966415,0.911051101145051,0.253023693982902,0.999692980444864,2.16483424192823,-8.64217305310539,-8.51051788385928
"sGARCH",0.05,153,7.65,13,0.0849673202614379,3.28571921943785,0.0698850035780769,0.0138440789096705,0.906336377344136,3.29956329834752,0.192091847455504,4.0854055314107,0.665119772068561,2.07615479593776,-6.20428384604805,-5.90380897584773
"gjrGARCH",0.01,153,1.53,2,0.0130718954248366,0.132977665971495,0.715364452666763,0.0533349136926553,0.817358673219968,0.18631257966415,0.911051101145051,0.268384650397218,0.999635690686333,2.13319577350759,-8.61742899663653,-8.51051788385928
"gjrGARCH",0.05,153,7.65,12,0.0784313725490196,2.23632831805527,0.134800735723335,0.00339481467332803,0.953537515680337,2.2397231327286,0.326324965847801,2.40121940765075,0.87935485165014,1.98701885062739,-6.24854809270591,-6.09961174409308
"eGARCH",0.01,153,1.53,2,0.0130718954248366,0.132977665971495,0.715364452666763,0.0533349136926553,0.817358673219968,0.18631257966415,0.911051101145051,0.450251833621527,0.99839226341715,2.21655381331175,-8.52489555422577,-9.49664296986798
"eGARCH",0.05,153,7.65,14,0.0915032679738562,4.50339419272511,0.0338276445286067,0.084234585611739,0.771638793993742,4.58762877833685,0.100880927914351,3.38130674368039,0.759688449961118,2.01931404438893,-6.08751056082437,-5.84275138789612
"linearSV",0.01,153,1.53,1,0.0065359477124183,0.2113168626234,0.645737212819965,0.0132451299304321,0.90837577700886,0.224561992553832,0.893793069685674,0.875471060197055,0.989895778707733,2.20397220584033,-9.80014822624787,-11.4009178947882
"linearSV",0.05,153,7.65,10,0.065359477124183,0.695789834048426,0.404201997539044,0.179458791080478,0.671838760012462,0.875248625128904,0.645568269192432,2.50869639614146,0.867493133402631,1.99255213310052,-6.77375562764328,-6.45770940579201
"regimeSwitchingSV",0.01,153,1.53,1,0.0065359477124183,0.2113168626234,0.645737212819965,0.0132451299304321,0.90837577700886,0.224561992553832,0.893793069685674,0.750688412878431,0.993331139560315,2.23859744200401,-10.3591938263322,-11.4009178947882
"regimeSwitchingSV",0.05,153,7.65,9,0.0588235294117647,0.237918431441273,0.625713592035536,0.378784556627863,0.53825443987955,0.616702988069136,0.734657045052237,3.37534222022719,0.760474164050903,1.98690525369162,-7.07321092414214,-6.50600338810547
"nonlinearSV",0.01,153,1.53,1,0.0065359477124183,0.2113168626234,0.645737212819965,0.0132451299304321,0.90837577700886,0.224561992553832,0.893793069685674,0.379826087387341,0.999009279185815,2.36309315679139,-10.3756993115323,-11.4009178947882
"nonlinearSV",0.05,153,7.65,9,0.0588235294117647,0.237918431441273,0.625713592035536,0.378784556627863,0.53825443987955,0.616702988069136,0.734657045052237,5.92322093253299,0.431845730620521,2.02408040679847,-7.10179302143145,-6.50600338810547
"harRV",0.01,153,1.53,2,0.0130718954248366,0.132977665971495,0.715364452666763,0.0533349136926553,0.817358673219968,0.18631257966415,0.911051101145051,0.248967513111687,0.999707067937747,2.25470341810822,-8.87369530593442,-9.06144657750064
"harRV",0.05,153,7.65,13,0.0849673202614379,3.28571921943785,0.0698850035780769,0.0138440789096705,0.906336377344136,3.29956329834752,0.192091847455504,3.64343876971131,0.724798235384016,1.9866803948638,-6.14311617721586,-5.97188992615848
